#FileName#ViewAccessor#Excel#Reason
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractRecordDVO.xml#FFRecordsVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractRecord.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#getDefIdFromExtractBlockVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#DEParameterVA# hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#ReportBlockIdVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#DataElementTypesVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#UserModuleNameVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractDataElementVO.xml#DataElementUiViewVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractDataElement.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractBlockVO.xml#UserEntityVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractWorksheet.xlsx#Bug NO.20091138
fusionapps/hcm/components/hcmCoreSetup/extracts/setup/uiModel/src/oracle/apps/hcm/extracts/setup/uiModel/view/ExtractBlockVO.xml#UserModuleNameVA#hcm/components/hcmCoreSetup/extracts/setup/ui/public_html/oracle/apps/hcm/extracts/setup/di/excel/ExtractWorksheet.xlsx#Bug NO.20091138
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#TargetCurrencyVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/CreateHistoricalRates.xlsx#Bug NO.19028384 
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistoricalRatePeriodVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/CreateHistoricalRates.xlsx#Bug NO.19028384
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistCurrencyVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/CreateHistoricalRates.xlsx#Bug NO.19028384
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#TargetCurrencyVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/ReviewHistoricalRates.xlsx#Bug NO.19028384
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistoricalRatePeriodVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/ReviewHistoricalRates.xlsx#Bug NO.19028384
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistCurrencyVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/ReviewHistoricalRates.xlsx#Bug NO.19028384
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#PoLookupPVOYesNo#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#AllBuyers#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#AllActiveBuyers#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#CommodityVVO#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#AllReqBUVVOOnlyActive#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#AllReqBUVVO#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
