#FileName#ViewAccessor#Excel#Reason
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#PersonHabitsPersonTypeVO1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonBenefitGroupVO.xml#BenefitGroupVA#PersonBenefitGroupExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonBenefitGroupVO.xml#PersonLovPVO1#PersonBenefitGroupExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonBenefitBalanceVO.xml#LegalEmployerVA#PersonBenefitBalanceUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonBenefitBalanceVO.xml#CurrencyPVO#PersonBenefitBalanceUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonBenefitBalanceVO.xml#HcmLookupPVO#PersonBenefitBalanceUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonBenefitBalanceVO.xml#EnterpriseVVO1#PersonBenefitBalanceUpload.xlsx#Bug NO.19425704
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#TargetCurrencyVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/EditHistoricalRates.xlsx#Bug NO.19820321
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistoricalRatePeriodVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/EditHistoricalRates.xlsx#Bug NO.19820321
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistCurrencyVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/EditHistoricalRates.xlsx#Bug NO.19820321
fusionapps/fin/components/payables/fa/desktopAdditions/model/src/oracle/apps/financials/assets/desktopAdditions/model/view/DesktopAdditionsDIVO.xml#DistributionSetDIVO#fin/components/payables/fa/desktopAdditions/di/public_html/oracle/apps/financials/assets/desktopAdditions/di/excel/MassAdditions.xlsm#Bug NO.21836051
fusionapps/fin/components/payables/fa/desktopAdditions/model/src/oracle/apps/financials/assets/desktopAdditions/model/view/DesktopAdditionsDIVO.xml#ProrateConventionTypeVO#fin/components/payables/fa/desktopAdditions/di/public_html/oracle/apps/financials/assets/desktopAdditions/di/excel/MassAdditions.xlsm#Bug NO.21836051
fusionapps/fin/components/payables/fa/desktopAdditions/model/src/oracle/apps/financials/assets/desktopAdditions/model/view/DesktopAdditionsDIVO.xml#BonusRuleVO#fin/components/payables/fa/desktopAdditions/di/public_html/oracle/apps/financials/assets/desktopAdditions/di/excel/MassAdditions.xlsm#Bug NO.21836051
fusionapps/fin/components/payables/fa/desktopAdditions/model/src/oracle/apps/financials/assets/desktopAdditions/model/view/DesktopAdditionsDIVO.xml#DffContextVA#fin/components/payables/fa/desktopAdditions/di/public_html/oracle/apps/financials/assets/desktopAdditions/di/excel/MassAdditions.xlsm#Bug NO.21836051
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourceCategoryLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourcePoolLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourceStatusLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourceSourceLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourceSourceLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourceCategoryLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourcePoolLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/ResourceVO.xml#ResourceStatusLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalResourcePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostCategoryLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostCategoryLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostStatusLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostStatusLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostTypeLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostTypeLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostTrendLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/CostVO.xml#CostTrendLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalCostPublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueCategoryLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueCategoryLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueStatusLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueStatusLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueTypeLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueTypeLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueTrendLookup#scm/components/productLifecycleManagement/productConceptDesign/concepts/ui/public_html/oracle/apps/scm/productConceptDesign/concepts/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/scm/components/productLifecycleManagement/productConceptDesign/concepts/uiModel/src/oracle/apps/scm/productConceptDesign/concepts/uiModel/view/RevenueVO.xml#RevenueTrendLookup#scm/components/productLifecycleManagement/productPortfolio/portfolios/ui/public_html/oracle/apps/scm/productPortfolio/portfolios/ui/page/ProposalRevenuePublish.xlsx#Bug NO.23062301
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistRateOFNPeriodVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/ReviewHistoricalRates.xlsx#Bug NO.23060462
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistRateOFNPeriodVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/CreateHistoricalRates.xlsx#Bug NO.23540147
fusionapps/fin/components/ledger/gl/currencies/manageRate/model/src/oracle/apps/financials/generalLedger/currencies/manageRate/uiModel/view/DesktopHistoricalRateInterfaceVO.xml#DesktopHistRateOFNPeriodVA#fin/components/ledger/gl/currencies/manageRate/di/public_html/oracle/apps/financials/generalLedger/currencies/manageRate/di/excel/EditHistoricalRates.xlsx#Bug NO.24464210

